,source,target
1706,201,1169
1707,201,1170
1708,201,1171
1709,201,1172
1710,201,1173
1711,201,1174
1712,201,1175
1713,201,1176
1714,201,1177
1715,201,1178
1716,201,1179
1717,201,1180
1718,201,1181
1719,201,1182
1720,202,1183
1721,202,1184
1722,203,1185
1723,203,1186
1724,203,1187
1725,203,1188
1726,203,1189
1727,203,1190
1728,204,1191
1729,204,1192
1730,204,1193
1731,204,352
1732,204,205
1733,204,81
1734,204,201
1735,205,782
1736,205,206
1737,205,783
1738,205,91
1739,205,197
1740,205,37
1741,205,204
1742,205,202
1743,205,200
1744,205,242
1745,205,201
1746,206,1194
1747,206,1195
1748,206,1196
1749,206,9
1750,207,1197
1751,207,1198
1752,207,1199
1753,207,1200
1754,207,1201
1755,207,1202
1756,207,1203
1757,207,1204
1758,207,1205
1759,207,1206
1760,207,1207
1761,207,1208
1762,207,1209
1763,207,1210
1764,208,1211
1765,208,195
1766,208,278
1767,208,1212
1768,208,220
1769,208,211
1770,208,34
1771,208,1213
1772,208,1214
1773,208,1215
1774,209,1216
1775,209,91
1776,209,197
1777,209,37
1778,209,1217
1779,209,205
1780,209,1099
1781,209,83
1782,209,186
1783,209,9
1784,210,1218
1785,210,1219
1786,210,1220
1787,210,171
1788,210,34
1789,211,1221
1790,211,1211
1791,211,1222
1792,211,1223
1793,211,1212
1794,211,1021
1795,211,1224
1796,211,1225
1797,211,1226
1798,211,1227
1799,211,1228
1800,211,1229
1801,211,1214
1802,211,1230
1803,211,1231
1804,211,1232
1805,212,1233
1806,212,217
1807,212,1234
1808,212,1235
1809,212,1236
1810,212,585
1811,212,1237
1812,213,1025
1813,213,1238
1814,213,1239
1815,213,171
1816,213,1240
1817,213,1241
1818,213,1242
1819,214,1211
1820,214,1243
1821,215,1201
1822,215,1244
1823,216,1245
1824,216,1246
1825,216,1247
1826,217,1248
1827,217,1249
1828,217,1250
1829,218,85
1830,218,718
1831,218,1251
1832,218,233
1833,218,1252
1834,218,1253
1835,218,1254
1836,218,1255
1837,219,336
1838,219,1256
1839,220,1211
1840,220,170
1841,220,211
1842,220,1212
1843,220,1257
1844,220,208
1845,220,34
1846,221,1258
1847,221,1259
1848,221,1260
1849,221,1261
1850,221,1262
1851,221,1263
1852,221,1264
1853,221,1265
1854,222,1266
1855,222,1267
1856,222,1268
1857,223,89
1858,223,1269
1859,223,80
1860,223,221
1861,224,80
1862,224,1270
1863,224,1271
1864,225,194
1865,225,190
1866,225,80
1867,225,85
1868,225,1085
1869,226,89
1870,226,85
1871,227,89
1872,227,226
1873,227,34
1874,227,44
1875,227,1272
1876,228,195
1877,228,1273
1878,228,1274
1879,228,234
1880,228,1034
1881,228,370
1882,228,1275
1883,228,85
1884,228,1124
1885,228,34
1886,229,1276
1887,229,1277
1888,230,1278
1889,230,80
1890,230,225
1891,230,1
1892,231,90
1893,231,244
1894,231,239
1895,231,1279
1896,231,218
1897,231,1280
1898,231,1281
1899,231,1282
1900,231,1283
1901,231,1284
1902,231,1285
1903,231,1286
1904,231,1287
1905,231,225
1906,231,312
1907,231,1288
1908,232,1289
1909,233,1290
1910,233,1291
1911,234,194
1912,234,1126
1913,234,91
1914,234,190
1915,234,189
1916,234,83
1917,234,85
1918,234,185
1919,235,33
1920,235,129
1921,235,196
1922,235,140
1923,235,193
1924,236,195
1925,236,1126
1926,236,191
1927,236,1103
1928,236,80
1929,236,1124
1930,236,228
1931,236,30
1932,236,1131
1933,236,1128
1934,236,43
1935,236,1292
1936,236,1293
1937,236,23
1938,236,192
1939,237,85
1940,238,80
1941,239,244
1942,239,1294
1943,239,218
1944,239,1280
1945,239,1281
1946,239,1282
1947,239,231
1948,239,1284
1949,239,80
1950,239,1285
1951,239,1286
1952,239,1287
1953,239,1295
1954,239,312
1955,239,1288
1956,240,1296
1957,240,1297
1958,240,1298
1959,241,1299
1960,241,1300
1961,241,1301
1962,241,740
1963,241,1302
1964,241,1303
1965,241,1304
1966,241,1305
1967,241,1306
1968,241,1307
1969,241,1308
1970,241,1309
1971,241,528
1972,241,25
1973,241,1
1974,241,1310
1975,241,421
1976,241,1311
1977,242,1312
1978,242,1313
1979,242,1314
1980,242,1315
1981,242,1316
1982,242,545
1983,242,27
1984,242,543
1985,242,544
1986,242,1317
1987,242,1318
1988,242,1319
1989,243,1320
1990,243,194
1991,243,1321
1992,243,1322
1993,243,192
1994,243,1111
1995,243,188
1996,243,1086
1997,243,83
1998,243,1323
1999,243,80
2000,243,184
2001,244,1324
2002,244,80
2003,244,1325
2004,244,1286
2005,244,238
2006,244,239
